feor_code,feor_name,teaor_A,teaor_B,teaor_C,teaor_D,teaor_E,teaor_F,teaor_G,teaor_H,teaor_I,teaor_J,teaor_K,teaor_M,teaor_N,teaor_O,teaor_P,teaor_Q,teaor_R,teaor_S
1332,Vendéglátó tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,Kereskedelmi tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334,Üzleti szolgáltatási tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.1,0.35,0.25,0.0,0.0,0.0,0.0,0.05
1335,Kulturális tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.75,0.1
1336,Sport- és rekreációs tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1
1339,"Egyéb kereskedelmi, vendéglátó és hasonló szolgáltatási tevékenységet folytató egység vezetője",0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.4
1411,Számviteli és pénzügyi tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.15,0.05,0.1,0.0,0.0,0.0,0.0
1412,"Személyzeti vezető, humánpolitikai egység vezetője",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.45,0.15,0.0,0.0,0.0,0.0
1413,Kutatási és fejlesztési tevékenységet folytató egység vezetője,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.75,0.0,0.0,0.05,0.05,0.0,0.0
1414,Vállalati stratégiatervezési egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.5,0.15,0.1,0.0,0.0,0.0,0.0
1415,Értékesítési és marketingtevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.15,0.1,0.25,0.15,0.0,0.0,0.0,0.0,0.0
1416,"Reklám-, PR- és egyéb kommunikációs tevékenységet folytató egység vezetője",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0
1419,Egyéb gazdasági tevékenységet segítő egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.25,0.3,0.1,0.0,0.0,0.0,0.15
2111,Bányamérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2112,Kohó- és anyagmérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2113,Élelmiszer-ipari mérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2114,Fa- és könnyűipari mérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2115,Építészmérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2116,Építőmérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2117,Vegyészmérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2118,Gépészmérnök,0.0,0.1,0.45,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2121,Villamosmérnök (energetikai mérnök),0.0,0.0,0.35,0.25,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2122,Villamosmérnök (elektronikai mérnök),0.0,0.0,0.35,0.25,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2123,Telekommunikációs mérnök,0.0,0.0,0.35,0.25,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2131,Mezőgazdasági mérnök,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2132,Erdő- és természetvédelmi mérnök,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2133,Táj- és kertépítészmérnök,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2134,Település- és közlekedéstervező mérnök,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2135,Földmérő és térinformatikus,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2136,Grafikus és multimédia-tervező,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2137,Minőségbiztosítási mérnök,0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2139,"Egyéb, máshova nem sorolható mérnök",0.2,0.0,0.1,0.0,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0
2141,Rendszerelemző (informatikai),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
2142,Szoftverfejlesztő,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
2143,Hálózat- és multimédia-fejlesztő,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
2144,Alkalmazásprogramozó,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
2149,"Egyéb szoftver- és alkalmazásfejlesztő, -elemző",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
2151,Adatbázis-tervező és -üzemeltető,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2152,Rendszergazda,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2153,"Számítógép-hálózati elemző, üzemeltető",0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2159,"Egyéb adatbázis- és hálózati elemző, üzemeltető",0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2161,Fizikus,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2162,Csillagász,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2163,Meteorológus,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2164,Kémikus,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2165,Geológus,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2166,Matematikus,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2167,"Biológus, botanikus, zoológus és rokon foglalkozású",0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2168,"Környezetfelmérő, -tanácsadó",0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2169,Egyéb természettudományi foglalkozású,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.05,0.05,0.0
2211,Általános orvos,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2212,Szakorvos,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2213,"Fogorvos, fogszakorvos",0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2214,"Gyógyszerész, szakgyógyszerész",0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2221,Környezet- és foglalkozás-egészségügyi foglalkozású,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2222,Optometrista,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2223,Dietetikus és táplálkozási tanácsadó,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2224,Gyógytornász,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2225,Védőnő,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2226,Mentőtiszt,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2227,Hallás- és beszédterapeuta,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2228,Alternatív gyógymódot alkalmazó,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2229,Egyéb humán-egészségügyi (társ)foglalkozású,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2231,Ápoló (felsőfokú képzettséghez kapcsolódó),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2232,Szülész(nő) (felsőfokú képzettséghez kapcsolódó),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2241,Állatorvos,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2242,Növényorvos (növényvédelmi szakértő),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
2311,Szociálpolitikus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0
2312,"Szociális munkás és tanácsadó Felsőoktatási intézményi oktatók, tanárok",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0
2410,"Egyetemi, főiskolai oktató, tanár Középfokú nevelési-oktatási intézményi oktatók, tanárok",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2421,Középiskolai tanár,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2422,"Középfokú nevelési-oktatási intézményi szakoktató, gyakorlati oktató Óvodai és alapfokú nevelési-oktatási intézményi tanárok, oktatók, nevelők",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2431,"Általános iskolai tanár, tanító",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2432,"Csecsemő- és kisgyermeknevelő, óvodapedagógus Speciális oktatók, nevelők",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2441,Gyógypedagógus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2442,Konduktor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2491,"Pedagógiai szakértő, szaktanácsadó",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2492,Nyelvtanár (iskolarendszeren kívül),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2493,Zenetanár (iskolarendszeren kívül),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2494,Egyéb művészetek tanára (iskolarendszeren kívül),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2495,Informatikatanár (iskolarendszeren kívül),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2499,"Egyéb szakképzett oktató, nevelő",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.0
2511,Pénzügyi elemző és befektetési tanácsadó,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2512,"Adótanácsadó, adószakértő",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2513,"Könyvvizsgáló, könyvelő, könyvszakértő",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2514,"KontrollerSzervezetirányítási, üzletpolitikai foglalkozások",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2521,"Szervezetirányítási elemző, szervező",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2522,"Üzletpolitikai elemző, szervező",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2523,Személyzeti és pályaválasztási szakértő,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2524,Képzési és személyzetfejlesztési szakértőKereskedelmi és marketingfoglalkozások,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2531,"Piackutató, reklám- és marketingtevékenységet tervező, szervező",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2532,"PR-tevékenységet tervező, szervező",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2533,"Kereskedelmi tervező, szervező",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2534,"Informatikai és telekommunikációs technológiai termékek értékesítését tervező, szervező",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0
2611,"Jogász, jogtanácsos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2612,Ügyész,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2613,Bíró,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2614,Közjegyző,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2615,Ügyvéd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2619,Egyéb jogi foglalkozású Társadalomtudományi foglalkozások,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2621,"Filozófus, politológus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2622,"Történész, régész",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2623,Néprajzkutató,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2624,Elemző közgazdász,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2625,Statisztikus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2626,"Szociológus, demográfus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2627,"Nyelvész, fordító, tolmács",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2628,Pszichológus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2629,Egyéb társadalomtudományi foglalkozású,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.35,0.05,0.05,0.05,0.0
2711,"Könyvtáros, informatikus könyvtáros",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2712,Levéltáros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2713,"Muzeológus, múzeumi gyűjteménygondnok",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2714,Kulturális szervező,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2715,Könyv- és lapkiadó szerkesztője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2716,"Újságíró, rádióműsor-, televízióműsor-szerkesztő",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2717,"Szakképzett edző, sportszervező, -irányító",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2719,Egyéb kulturális és sportfoglalkozású (felsőfokú képzettséghez kapcsolódó)Alkotó- és előadó-művészi foglalkozások (felsőfokú képzettséghez kapcsolódó),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2721,Író (újságíró nélkül),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2722,Képzőművész,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2723,"Iparművész, gyártmány- és ruhatervező",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
2724,"Zeneszerző, zenész, énekes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1
